"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
0,55.887712,302.727273,0.000000,108917.276034,2.886776,5.454545
1,55.887712,308.181818,0.000000,108917.276034,2.886776,5.454545
2,58.774488,302.727273,0.000000,100649.940845,2.886776,5.454545
3,58.774488,308.181818,0.000000,100649.940845,2.886776,5.454545
4,58.774488,313.636364,0.000000,100649.940845,2.886776,5.454545
5,61.661264,300.000000,0.000000,119231.921829,2.886776,7.058824
6,61.661264,307.058824,0.000000,119231.921829,2.886776,7.058824
7,61.661264,314.117647,0.000000,119231.921829,2.886776,7.058824
8,64.548040,307.058824,0.000000,107916.906133,2.886776,7.058824
9,64.548040,314.117647,0.000000,107916.906133,2.886776,7.058824
10,67.434816,307.058824,0.000000,96336.333704,2.886776,7.058824
11,67.434816,314.117647,0.000000,96336.333704,2.886776,7.058824
12,64.548040,321.176471,0.000000,107916.906133,2.886776,7.058824
13,64.548040,328.235294,0.000000,107916.906133,2.886776,7.058824
14,67.434816,321.176471,0.000000,96336.333704,2.886776,7.058824
15,67.434816,328.235294,0.000000,96336.333704,2.886776,7.058824
16,67.434816,335.294118,0.000000,96336.333704,2.886776,7.058824
17,67.434816,342.352941,0.000000,96336.333704,2.886776,7.058824
18,70.321592,315.000000,0.000000,119735.537943,2.886776,10.000000
19,70.321592,325.000000,0.000000,119735.537943,2.886776,10.000000
20,73.208368,305.000000,0.000000,102701.152500,2.886776,10.000000
21,73.208368,315.000000,0.000000,102701.152500,2.886776,10.000000
22,73.208368,325.000000,0.000000,102701.152500,2.886776,10.000000
23,76.095144,305.000000,0.000000,85415.493996,2.886776,10.000000
24,76.095144,315.000000,0.000000,85415.493996,2.886776,10.000000
25,70.321592,335.000000,0.000000,119735.537943,2.886776,10.000000
26,73.208368,335.000000,0.000000,102701.152500,2.886776,10.000000

