"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
0,-31.927778,153.333333,0.000000,185862.776943,3.984444,4.444444
1,-27.943333,153.333333,0.000000,193538.569370,3.984444,4.444444
2,-27.943333,157.777778,0.000000,193538.569370,3.984444,4.444444
3,-23.958889,162.222222,0.000000,200277.208660,3.984444,4.444444
4,-23.958889,166.666667,0.000000,200277.208660,3.984444,4.444444
5,-19.974444,163.448276,0.000000,191833.386798,3.984444,4.137931
6,-19.974444,167.586207,0.000000,191833.386798,3.984444,4.137931
7,-19.974444,171.724138,0.000000,191833.386798,3.984444,4.137931
8,-15.990000,171.724138,0.000000,196267.854132,3.984444,4.137931
9,-15.990000,175.862069,0.000000,196267.854132,3.984444,4.137931
10,-12.005556,175.862069,0.000000,199744.764785,3.984444,4.137931
11,-12.005556,180.000000,0.000000,199744.764785,3.984444,4.137931
12,-8.021111,178.000000,0.000000,195503.986155,3.984444,4.000000
13,-8.021111,182.000000,0.000000,195503.986155,3.984444,4.000000
14,-8.021111,186.000000,0.000000,195503.986155,3.984444,4.000000
15,-4.036667,182.000000,0.000000,196964.740636,3.984444,4.000000
16,-4.036667,186.000000,0.000000,196964.740636,3.984444,4.000000
17,-4.036667,190.000000,0.000000,196964.740636,3.984444,4.000000
18,-0.052222,186.000000,0.000000,197460.998355,3.984444,4.000000
19,-0.052222,190.000000,0.000000,197460.998355,3.984444,4.000000
20,-0.052222,194.000000,0.000000,197460.998355,3.984444,4.000000
21,3.932222,190.000000,0.000000,196990.081822,3.984444,4.000000
22,3.932222,194.000000,0.000000,196990.081822,3.984444,4.000000
23,3.932222,198.000000,0.000000,196990.081822,3.984444,4.000000
24,7.916667,194.000000,0.000000,195554.531845,3.984444,4.000000
25,7.916667,198.000000,0.000000,195554.531845,3.984444,4.000000
26,7.916667,202.000000,0.000000,195554.531845,3.984444,4.000000
27,11.901111,198.000000,0.000000,193162.084050,3.984444,4.000000
28,11.901111,202.000000,0.000000,193162.084050,3.984444,4.000000
29,11.901111,206.000000,0.000000,193162.084050,3.984444,4.000000
30,15.885556,203.571429,0.000000,203384.569059,3.984444,4.285714
31,15.885556,207.857143,0.000000,203384.569059,3.984444,4.285714
32,15.885556,212.142857,0.000000,203384.569059,3.984444,4.285714
33,19.870000,207.857143,0.000000,198817.434751,3.984444,4.285714
34,19.870000,212.142857,0.000000,198817.434751,3.984444,4.285714
35,19.870000,216.428571,0.000000,198817.434751,3.984444,4.285714
36,23.854444,212.142857,0.000000,193282.307755,3.984444,4.285714
37,23.854444,216.428571,0.000000,193282.307755,3.984444,4.285714
38,23.854444,220.714286,0.000000,193282.307755,3.984444,4.285714
39,27.838889,218.400000,0.000000,209225.522198,3.984444,4.800000
40,27.838889,223.200000,0.000000,209225.522198,3.984444,4.800000
41,27.838889,228.000000,0.000000,209225.522198,3.984444,4.800000
42,31.823333,228.000000,0.000000,200961.666479,3.984444,4.800000
43,31.823333,232.800000,0.000000,200961.666479,3.984444,4.800000
44,35.807778,232.800000,0.000000,191727.723825,3.984444,4.800000
45,35.807778,237.600000,0.000000,191727.723825,3.984444,4.800000

